Destination_Name,Country,City,Destination_Type,Starting_Point,Distance_km,Travel_Mode,Flight_Transport_Cost_USD,Travel_Duration_Hours,Accommodation_Options,Accommodation_Cost_Per_Night_USD,Recommended_Stay_Days,Top_Attractions,Activity_Cost_USD,Activity_Duration_Hours,Food_Options,Food_Cost_Per_Day_USD,Visa_Required,Visa_Cost_USD,Miscellaneous_Cost_USD,Best_Season,Peak_Season_Cost_Multiplier,Local_Currency,Exchange_Rate_to_USD
Dubai,UAE,Dubai,City,Dhaka,3700,Flight,600,5,"Budget Hotel,Luxury Hotel",80,7,"Burj Khalifa,Desert Safari",30,2,"Street Food,Fine Dining",25,TRUE,50,40,November-March,1.5,AED,0.27
Cox's Bazar,Bangladesh,Cox's Bazar,Beach,Dhaka,400,Bus,50,10,"Budget Hotel,Mid-Range Hotel",20,3,"Beach,Marine Drive",10,2,"Street Food,Restaurant",8,FALSE,0,10,November-February,1.4,BDT,0.0091
Paris,France,Paris,City/Historical,Dhaka,9000,Flight,800,14,"Budget Hotel,Luxury Hotel",100,5,"Eiffel Tower,Louvre Museum",25,3,"Café,Fine Dining",30,TRUE,60,50,April-June,1.3,EUR,1.08
Tokyo,Japan,Tokyo,City,Dhaka,5500,Flight,700,11,"Capsule Hotel,Mid-Range Hotel",70,4,"Shibuya Crossing,Tsukiji Market",20,2,"Street Food,Restaurant",25,TRUE,55,40,March-May,1.4,JPY,0.0077
Sundarbans,Bangladesh,Khulna,Nature,Dhaka,300,Bus+Boat,60,8,"Guesthouse,Tourist Lodge",25,2,"Mangrove Forest,Boat Safari",20,4,Local Restaurant,10,FALSE,0,15,December-March,1.3,BDT,0.0091
New York,USA,New York,City,Dhaka,12000,Flight,1000,18,"Budget Hotel,Luxury Hotel",150,10,"Statue of Liberty,Central Park",50,4,"Street Food,Fine Dining",50,TRUE,160,100,April-October,1.5,USD,1
Bali,Indonesia,Bali,Beach,Dhaka,4500,Flight,600,8,"Budget Hotel,Luxury Hotel",80,7,"Uluwatu Temple,Beaches",30,3,"Street Food,Restaurant",25,TRUE,50,40,April-October,1.4,IDR,7.00E-05
Sydney,Australia,Sydney,City,Dhaka,9000,Flight,900,14,"Budget Hotel,Luxury Hotel",120,7,"Sydney Opera House,Bondi Beach",40,4,"Café,Fine Dining",40,TRUE,100,60,September-November,1.5,AUD,0.72
London,UK,London,City/Historical,Dhaka,8000,Flight,850,12,"Budget Hotel,Luxury Hotel",110,7,"Big Ben,Buckingham Palace",35,3,"Street Food,Restaurant",35,TRUE,90,50,April-September,1.4,GBP,1.25
Rome,Italy,Rome,City/Historical,Dhaka,7500,Flight,800,11,"Budget Hotel,Luxury Hotel",100,7,"Colosseum,Roman Forum",30,3,"Café,Fine Dining",30,TRUE,80,40,April-June,1.3,EUR,1.08
Bangkok,Thailand,Bangkok,City,Dhaka,2500,Flight,400,6,"Budget Hotel,Luxury Hotel",50,5,"Grand Palace,Wat Arun",20,2,"Street Food,Restaurant",20,TRUE,40,30,November-February,1.4,THB,0.03
Singapore,Singapore,Singapore,City,Dhaka,3500,Flight,500,7,"Budget Hotel,Luxury Hotel",60,5,"Marina Bay Sands,Gardens by the Bay",25,3,"Street Food,Fine Dining",25,TRUE,50,35,February-April,1.5,SGD,0.74
Istanbul,Turkey,Istanbul,City/Historical,Dhaka,5000,Flight,700,9,"Budget Hotel,Luxury Hotel",90,7,"Hagia Sophia,Blue Mosque",30,3,"Street Food,Restaurant",30,TRUE,70,50,April-June,1.4,TRY,0.12
Mumbai,India,Mumbai,City,Dhaka,2000,Flight,300,5,"Budget Hotel,Luxury Hotel",40,5,"Gateway of India,Elephanta Caves",15,2,"Street Food,Restaurant",15,TRUE,30,20,November-February,1.3,INR,0.013
Cape Town,South Africa,Cape Town,City,Dhaka,10000,Flight,1000,15,"Budget Hotel,Luxury Hotel",120,7,"Table Mountain,Robben Island",40,4,"Street Food,Fine Dining",40,TRUE,100,60,November-March,1.5,ZAR,0.067
Rio de Janeiro,Brazil,Rio de Janeiro,City,Dhaka,15000,Flight,1200,20,"Budget Hotel,Luxury Hotel",150,10,"Christ the Redeemer,Sugarloaf Mountain",50,5,"Street Food,Restaurant",50,TRUE,120,80,April-October,1.4,BRL,0.2
Amsterdam,Netherlands,Amsterdam,City,Dhaka,7000,Flight,750,10,"Budget Hotel,Luxury Hotel",100,7,"Van Gogh Museum,Anne Frank House",30,3,"Café,Fine Dining",30,TRUE,80,50,April-October,1.3,EUR,1.08
Barcelona,Spain,Barcelona,City,Dhaka,8000,Flight,800,11,"Budget Hotel,Luxury Hotel",110,7,"Sagrada Familia,Park Guell",35,3,"Street Food,Restaurant",35,TRUE,90,55,April-October,1.4,EUR,1.08
Vienna,Austria,Vienna,City/Historical,Dhaka,7500,Flight,780,10,"Budget Hotel,Luxury Hotel",100,7,"Schonbrunn Palace,Belvedere Palace",30,3,"Café,Fine Dining",30,TRUE,80,50,April-October,1.5,EUR,1.08
Prague,Czech Republic,Prague,City/Historical,Dhaka,7000,Flight,700,9,"Budget Hotel,Luxury Hotel",90,7,"Prague Castle,Charles Bridge",25,2,"Street Food,Restaurant",25,TRUE,70,40,April-October,1.4,CZK,0.044
Berlin,Germany,Berlin,City,Dhaka,7500,Flight,750,10,"Budget Hotel,Luxury Hotel",100,7,"Brandenburg Gate,Reichstag",30,3,"Café,Fine Dining",30,TRUE,80,50,April-October,1.3,EUR,1.08
Madrid,Spain,Madrid,City,Dhaka,8000,Flight,800,11,"Budget Hotel,Luxury Hotel",110,7,"Prado Museum,Retiro Park",35,3,"Street Food,Restaurant",35,TRUE,90,55,April-October,1.4,EUR,1.08
Lisbon,Portugal,Lisbon,City,Dhaka,8500,Flight,850,12,"Budget Hotel,Luxury Hotel",120,7,"Belem Tower,Jerónimos Monastery",40,4,"Café,Fine Dining",40,TRUE,100,60,April-October,1.5,EUR,1.08
Athens,Greece,Athens,City/Historical,Dhaka,6000,Flight,600,8,"Budget Hotel,Luxury Hotel",80,5,"Acropolis,Parthenon",25,2,"Street Food,Restaurant",25,TRUE,60,40,April-October,1.4,EUR,1.08
Cairo,Egypt,Cairo,City/Historical,Dhaka,5000,Flight,500,7,"Budget Hotel,Luxury Hotel",70,5,"Pyramids of Giza,Egyptian Museum",20,2,"Street Food,Restaurant",20,TRUE,50,30,November-March,1.3,EGP,0.064
Marrakech,Morocco,Marrakech,City/Historical,Dhaka,7000,Flight,700,10,"Budget Hotel,Luxury Hotel",100,7,"Jemaa el-Fnaa,Medina",30,3,"Street Food,Restaurant",30,TRUE,80,50,March-May,1.5,MAD,0.11
Dubrovnik,Croatia,Dubrovnik,City/Historical,Dhaka,6000,Flight,600,8,"Budget Hotel,Luxury Hotel",80,5,"Dubrovnik Old City,Walls of Dubrovnik",25,2,"Street Food,Restaurant",25,TRUE,60,40,May-September,1.4,HRK,0.16
Reykjavik,Iceland,Reykjavik,Nature,Dhaka,10000,Flight,1000,15,"Budget Hotel,Luxury Hotel",150,10,"Blue Lagoon,Golden Circle",50,4,"Street Food,Restaurant",50,TRUE,100,80,June-August,1.5,ISK,0.0078
Queenstown,New Zealand,Queenstown,Nature,Dhaka,12000,Flight,1200,18,"Budget Hotel,Luxury Hotel",180,10,"Milford Sound,Queenstown Gardens",60,5,"Street Food,Restaurant",60,TRUE,120,100,December-February,1.6,NZD,0.7
Banff,Canada,Banff,Nature,Dhaka,13000,Flight,1300,20,"Budget Hotel,Luxury Hotel",200,10,"Banff National Park,Lake Louise",70,6,"Street Food,Restaurant",70,TRUE,130,110,June-September,1.7,CAD,0.78
Kyoto,Japan,Kyoto,City/Historical,Dhaka,5500,Flight,550,11,"Budget Hotel,Luxury Hotel",100,7,"Fushimi Inari Shrine,Kinkaku-ji",30,3,"Street Food,Restaurant",30,TRUE,60,50,March-May,1.4,JPY,0.0077
Seoul,South Korea,Seoul,City,Dhaka,4500,Flight,450,9,"Budget Hotel,Luxury Hotel",80,5,"Gyeongbokgung Palace,N Seoul Tower",25,2,"Street Food,Restaurant",25,TRUE,50,40,April-June,1.3,KRW,0.00085
Hong Kong,Hong Kong,Hong Kong,City,Dhaka,3500,Flight,350,7,"Budget Hotel,Luxury Hotel",60,5,"Victoria Peak,Star Ferry",20,2,"Street Food,Restaurant",20,TRUE,40,30,October-December,1.4,HKD,0.13
Shanghai,China,Shanghai,City,Dhaka,4000,Flight,400,8,"Budget Hotel,Luxury Hotel",70,5,"The Bund,Yu Garden",25,2,"Street Food,Restaurant",25,TRUE,50,40,April-October,1.5,CNY,0.15
Moscow,Russia,Moscow,City,Dhaka,6000,Flight,600,10,"Budget Hotel,Luxury Hotel",90,7,"Red Square,St. Basil's Cathedral",30,3,"Street Food,Restaurant",30,TRUE,70,50,May-September,1.4,RUB,0.014
St. Petersburg,Russia,St. Petersburg,City/Historical,Dhaka,6500,Flight,650,11,"Budget Hotel,Luxury Hotel",100,7,"Hermitage Museum,Peterhof Palace",35,3,"Street Food,Restaurant",35,TRUE,80,60,June-August,1.3,RUB,0.014
Hanoi,Vietnam,Hanoi,City,Dhaka,2500,Flight,250,6,"Budget Hotel,Luxury Hotel",50,5,"Hoan Kiem Lake,Old Quarter",20,2,"Street Food,Restaurant",20,TRUE,40,30,November-March,1.5,VND,4.30E-05
Ho Chi Minh City,Vietnam,Ho Chi Minh City,City,Dhaka,3000,Flight,300,7,"Budget Hotel,Luxury Hotel",60,5,"Cu Chi Tunnels,War Remnants Museum",25,2,"Street Food,Restaurant",25,TRUE,50,40,December-April,1.4,VND,4.30E-05
Phuket,Thailand,Phuket,Beach,Dhaka,3000,Flight,300,7,"Budget Hotel,Luxury Hotel",60,5,"Phi Phi Islands,Patong Beach",25,2,"Street Food,Restaurant",25,TRUE,50,40,November-March,1.3,THB,0.03
Kuala Lumpur,Malaysia,Kuala Lumpur,City,Dhaka,3500,Flight,350,8,"Budget Hotel,Luxury Hotel",70,5,"Petronas Towers,Batu Caves",30,2,"Street Food,Restaurant",30,TRUE,60,50,April-October,1.4,MYR,0.24
Manila,Philippines,Manila,City,Dhaka,4000,Flight,400,9,"Budget Hotel,Luxury Hotel",80,5,"Intramuros,Rizal Park",35,3,"Street Food,Restaurant",35,TRUE,70,60,November-March,1.5,PHP,0.02
Jakarta,Indonesia,Jakarta,City,Dhaka,4500,Flight,450,10,"Budget Hotel,Luxury Hotel",90,5,"Monas National Monument,Taman Mini",40,3,"Street Food,Restaurant",40,TRUE,80,70,April-October,1.4,IDR,7.00E-05
Kathmandu,Nepal,Kathmandu,City,Dhaka,1500,Flight,150,4,"Budget Hotel,Luxury Hotel",30,5,"Pashupatinath Temple,Boudhanath Stupa",10,1,"Street Food,Restaurant",10,TRUE,20,15,March-May,1.4,NPR,0.0088
Thimphu,Bhutan,Thimphu,City,Dhaka,2000,Flight,200,5,"Budget Hotel,Luxury Hotel",40,5,"Tashichho Dzong,Buddha Dordenma",15,2,"Street Food,Restaurant",15,TRUE,30,20,October-December,1.5,BTN,0.014
Male,Maldives,Male,Beach,Dhaka,3000,Flight,300,7,"Budget Hotel,Luxury Hotel",60,5,"Male Fish Market,Artificial Beach",25,3,"Street Food,Restaurant",25,TRUE,50,40,November-March,1.4,MVR,0.065
Colombo,Sri Lanka,Colombo,City,Dhaka,2000,Flight,200,5,"Budget Hotel,Luxury Hotel",40,5,"Sigiriya Rock Fortress,Temple of the Tooth",15,2,"Street Food,Restaurant",15,TRUE,30,20,December-March,1.3,LKR,0.005
Sylhet,Bangladesh,Sylhet,Nature,Dhaka,350,Bus,30,6,"Guesthouse,Mid-Range Hotel",25,3,"Tea Gardens,Tamabil",10,2,"Street Food,Restaurant",10,FALSE,0,10,February-April,1.3,BDT,0.0091
Chittagong,Bangladesh,Chittagong,City,Dhaka,150,Bus,25,4,"Budget Hotel,Mid-Range Hotel",30,3,"Patenga Beach,Hill Tracts",15,2,"Street Food,Restaurant",12,FALSE,0,15,November-February,1.3,BDT,0.0091
Saint Martin’s Island,Bangladesh,Saint Martin’s Island,Beach,Dhaka,500,Boat,40,12,"Guesthouse,Tourist Lodge",20,2,"Coral Reef,Beach",10,3,"Street Food,Restaurant",8,FALSE,0,10,December-March,1.4,BDT,0.0091
Rangamati,Bangladesh,Rangamati,Nature,Dhaka,200,Bus,35,5,"Guesthouse,Mid-Range Hotel",25,3,"Kaptai Lake,Hanging Bridge",15,3,"Street Food,Restaurant",10,FALSE,0,15,November-March,1.3,BDT,0.0091
Bandarban,Bangladesh,Bandarban,Nature,Dhaka,250,Bus,40,6,"Guesthouse,Mid-Range Hotel",25,3,"Golden Temple,Nilgiri Hills",15,3,"Street Food,Restaurant",10,FALSE,0,15,November-March,1.3,BDT,0.0091
Kuakata,Bangladesh,Kuakata,Beach,Dhaka,400,Bus,50,10,"Budget Hotel,Mid-Range Hotel",30,3,"Sunset Beach,Local Market",10,2,"Street Food,Fine Dining",12,FALSE,0,10,November-February,1.4,BDT,0.0091
Srimangal,Bangladesh,Srimangal,Nature,Dhaka,300,Bus,30,7,"Guesthouse,Mid-Range Hotel",25,3,"Lawachara National Park,Tea Estates",15,3,"Street Food,Restaurant",10,FALSE,0,15,February-April,1.3,BDT,0.0091
